167036,261156,263278,305070,288097,314506,298801,324749,308544,321303,311360,318396,311192,314476,309077,313737
210174,311683,320357,317361,325889,315012,314510,314254,264027,265511,261893,259427,252326,249343,246302,244570
260184,324327,302386,311701,310196,278897,274713,274041,233571,232707,233491,227037,234579,240007,227964,232038
295696,310799,306230,302540,279491,260569,267198,269344,214147,216022,210091,214694,206196,208327,199043,201872
287479,314598,297742,265802,263466,254201,243724,241434,184747,194724,178121,188982,172122,181868,165692,165956
271992,276600,262637,246876,236720,219263,214111,213155,177162,163705,150705,155358,149110,151293,143203,143935
255470,275336,246278,240815,234013,206687,202318,200375,144476,144573,137888,142723,136585,137793,130761,130718
267094,265686,235000,245929,223519,198771,192855,193754,134213,134316,128038,131813,126010,127729,119472,120992
259616,248719,235417,233744,216965,188469,184558,183927,125791,125482,119042,122327,116978,119088,113168,118509
255733,244653,245261,227772,208647,178977,177623,174556,118042,117245,111651,114280,110267,116272,112915,114259
