13802,14504,15159,15567,15168,14861,15372,15485,14813,14841,14725,14480,14413,14755,13845,14136
13762,14975,14982,15046,14845,14916,15089,15642,14934,14675,14762,14681,14331,14255,14309,14389
14414,14711,14610,14569,14565,14576,14764,15041,14643,14554,14539,14697,14679,14565,14523,14546
15104,15078,14700,14620,13829,14374,14743,14973,14763,14636,14743,14719,14729,14721,14416,14314
14831,14793,14884,14823,14717,14905,14759,14939,14670,14674,14648,14616,14657,14651,14643,14641
14773,14896,14714,14949,14848,14702,14929,14922,14706,14706,14707,14683,14678,14414,14538,14500
14795,14653,14823,14889,14850,14877,14920,14921,14459,14447,14460,14486,14400,14577,14707,14684
14816,14688,14794,14762,14666,14635,14900,14884,14639,14655,14728,14709,14717,14673,14612,14586
14522,14590,14962,14512,14843,14527,14622,14638,14512,14581,14549,14374,14524,14608,14648,14549
14788,14876,14732,14892,14739,14813,15014,15198,14539,14514,14542,14388,14233,14437,14436,14417
