13068,14768,16578,16642,16567,16615,16802,16834,16801,16765,16767,16781,16759,16794,16783,16758
14854,16821,16723,16805,16837,16731,16846,16969,16917,16910,16899,16908,16857,16848,16757,16843
16780,16781,16811,16848,16770,16754,16784,16677,16704,16798,16808,16749,16827,16530,16348,16384
16564,16593,16623,16668,16766,16776,16710,16748,16720,16670,16613,16578,16620,16582,16446,16496
16539,16537,16634,16429,16203,16328,16375,16391,16255,16351,16364,16347,16158,16590,16608,16617
16595,16679,16659,16677,16645,16578,16451,16478,16528,16475,16373,16395,16401,16388,16414,16508
16497,16463,16408,16493,16532,16435,16422,16466,16466,16413,16318,16288,16140,16199,16255,16219
16314,16312,16530,16479,16557,16521,16465,16560,16586,16381,16433,16407,16310,16340,16152,16233
16297,16344,16228,16205,16406,16272,16322,16335,16153,16296,16377,16283,16151,16246,16334,16289
16302,16353,16271,16411,16297,16233,16275,16278,16174,16197,16089,15802,15970,16144,16135,16188
