14695,15249,16653,16356,16704,16563,16629,16681,16645,16736,16711,16803,16864,16843,16800,16817
15556,16670,16777,16761,16730,16683,16660,16689,16621,16593,16389,16526,16628,16528,16708,16677
16829,16903,16848,16809,16878,16747,16797,16788,16827,16702,16564,16770,16861,16611,16693,16730
16704,16810,16758,16736,16663,16611,16611,16646,16567,16686,16429,15903,16490,16422,16145,16278
16677,16691,16652,16671,16699,16770,16721,16720,15998,15827,15702,15483,15798,15420,15233,15480
16715,16509,16467,16390,16474,16766,16342,16333,14901,15113,15219,15510,15617,14755,14867,14964
16709,16760,16826,16825,16803,16782,16825,16809,14989,14925,14959,14920,14871,14872,14817,14836
16820,16853,16847,16740,16812,16829,16778,16771,14832,14798,14813,14744,14731,14773,14783,14826
16810,16861,16848,16716,16789,16786,16785,16793,14820,14797,14826,14842,14783,14816,14738,14769
16737,16718,16639,16649,16476,16576,16673,16605,14671,14687,14697,14593,14621,14739,14637,14645
